ref	current	kind	title	domains	verification	path
qeva:1:local-global@2	yes	definition	Local versus global optimum	optimization,dynamics	editorial	objects/local-global.r2.json
qeva:1:measure@1	yes	definition	Measure	measure-theory,analysis	editorial	objects/measure.r1.json
qeva:1:membership@1	yes	primitive	Membership	set-theory,foundations	editorial	objects/membership.r1.json
qeva:1:metric-space@1	yes	definition	Metric space	analysis,geometry,topology	editorial	objects/metric-space.r1.json
qeva:1:model@1	yes	definition	Model	logic,semantics	editorial	objects/model.r1.json
qeva:1:multiplication@1	yes	definition	Multiplication	number-theory,arithmetic	editorial	objects/multiplication.r1.json
qeva:1:natural-number@1	yes	framework	Natural number	number-theory,arithmetic	editorial	objects/natural-number.r1.json
qeva:1:negation@1	yes	definition	Negation	logic	editorial	objects/negation.r1.json
qeva:1:nonlinearity@1	no	definition	Nonlinearity	algebra,dynamics,optimization	editorial	objects/nonlinearity.r1.json
qeva:1:nonlinearity@2	yes	definition	Nonlinearity	algebra,dynamics,optimization	editorial	objects/nonlinearity.r2.json
qeva:1:object@1	yes	primitive	Object	foundations,ontology	editorial	objects/object.r1.json
qeva:1:one-plus-one@1	yes	theorem	One plus one equals two	arithmetic,proof	machine-checked	objects/one-plus-one.r1.json
qeva:1:operation@1	yes	definition	Operation	foundations,algebra	editorial	objects/operation.r1.json
qeva:1:optimization@1	no	definition	Optimization	optimization,analysis,algorithms	editorial	objects/optimization.r1.json
qeva:1:optimization@2	yes	definition	Optimization	optimization,analysis,algorithms	editorial	objects/optimization.r2.json
qeva:1:order@1	yes	definition	Order	order-theory,structure	editorial	objects/order.r1.json
qeva:1:ordered-pair@1	yes	definition	Ordered pair	set-theory,structure	editorial	objects/ordered-pair.r1.json
qeva:1:parity@1	no	definition	Parity	number,arithmetic	editorial	objects/parity.r1.json
qeva:1:parity@2	yes	definition	Parity	number,arithmetic	editorial	objects/parity.r2.json
qeva:1:periodicity@1	no	definition	Periodicity of a sequence	dynamics,sequence,recurrence	editorial	objects/periodicity.r1.json
qeva:1:periodicity@2	yes	definition	Periodicity of a sequence	dynamics,sequence,recurrence	editorial	objects/periodicity.r2.json
qeva:1:prime@1	no	definition	Prime number	number,arithmetic	editorial	objects/prime.r1.json
qeva:1:prime@2	yes	definition	Prime number	number,arithmetic	editorial	objects/prime.r2.json
qeva:1:probability-space@1	yes	definition	Probability space	probability,measure-theory	editorial	objects/probability-space.r1.json
qeva:1:proof@1	yes	definition	Proof	logic,proof	editorial	objects/proof.r1.json
qeva:1:quasiperiodicity@1	no	definition	Quasiperiodicity	dynamics,analysis,sequence	editorial	objects/quasiperiodicity.r1.json
qeva:1:quasiperiodicity@2	yes	definition	Quasiperiodicity	dynamics,analysis,sequence	editorial	objects/quasiperiodicity.r2.json
qeva:1:random-variable@1	yes	definition	Random variable	probability,statistics	editorial	objects/random-variable.r1.json
qeva:1:rational@1	yes	definition	Rational number	number-theory,algebra	editorial	objects/rational.r1.json
qeva:1:real-number@1	yes	framework	Real number	analysis,number-theory	editorial	objects/real-number.r1.json
qeva:1:recurrence@1	no	definition	Recurrence relation	dynamics,sequence,computation	editorial	objects/recurrence.r1.json
qeva:1:recurrence@2	yes	definition	Recurrence relation	dynamics,sequence,computation	editorial	objects/recurrence.r2.json
qeva:1:relation@1	yes	definition	Relation	foundations,structure	editorial	objects/relation.r1.json
qeva:1:ring@1	yes	definition	Ring	algebra	editorial	objects/ring.r1.json
qeva:1:satisfaction@1	no	definition	Satisfaction	logic,semantics,foundations	editorial	objects/satisfaction.r1.json
qeva:1:satisfaction@2	yes	definition	Satisfaction	logic,semantics,foundations	editorial	objects/satisfaction.r2.json
qeva:1:schema-replacement@1	yes	axiom	Schema of replacement	set-theory,foundations	editorial	objects/schema-replacement.r1.json
